Series ID,Year,Period,Label,Value
PRS30006092,2019,Q01,2019 Qtr1,-3.4
PRS30006092,2019,Q02,2019 Qtr2,-3.8
PRS30006092,2019,Q03,2019 Qtr3,-1.7
PRS30006092,2019,Q04,2019 Qtr4,0.0
PRS84006092,2019,Q01,2019 Qtr1,2.8
PRS84006092,2019,Q02,2019 Qtr2,2.7
PRS84006092,2019,Q03,2019 Qtr3,4.1
PRS84006092,2019,Q04,2019 Qtr4,3.5
PRS85006092,2019,Q01,2019 Qtr1,3.1
PRS85006092,2019,Q02,2019 Qtr2,2.6
PRS85006092,2019,Q03,2019 Qtr3,4.4
PRS85006092,2019,Q04,2019 Qtr4,3.6
