OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
3983,276102,44000,Los Angeles,Westchester,27610244000Westchester,7094128.727,20522.12644
3984,276400,44000,Los Angeles,Westchester,27640044000Westchester,13734716.44,16202.10654
3985,276500,44000,Los Angeles,Westchester,27650044000Westchester,12829512.43,15364.63158
3986,276601,44000,Los Angeles,Westchester,27660144000Westchester,24108652.61,23282.14515
3987,276605,44000,Los Angeles,Westchester,27660544000Westchester,2559670.689,8205.733011
3988,276606,44000,Los Angeles,Westchester,27660644000Westchester,2334537.832,7340.044382
3989,276607,44000,Los Angeles,Westchester,27660744000Westchester,5146082.125,11378.34895
3990,276608,44000,Los Angeles,Westchester,27660844000Westchester,3878091.623,8653.142739
3991,277000,44000,Los Angeles,Westchester,27700044000Westchester,24742892.25,21836.76541
3992,277100,44000,Los Angeles,Westchester,27710044000Westchester,13292844.09,15258.92788
3993,277200,44000,Los Angeles,Westchester,27720044000Westchester,11184309.53,15187.77458
3994,277400,44000,Los Angeles,Westchester,27740044000Westchester,6724508.044,10318.33153
3995,278001,44000,Los Angeles,Westchester,27800144000Westchester,17381710.86,25351.40515
3996,291110,44000,Los Angeles,Harbor Gateway,29111044000Harbor Gateway,7658930.473,11616.4901
3997,291120,44000,Los Angeles,Harbor Gateway,29112044000Harbor Gateway,7547707.802,10994.97853
3998,291130,44000,Los Angeles,Harbor Gateway,29113044000Harbor Gateway,13915156.61,15876.69654
3999,291210,44000,Los Angeles,Harbor Gateway,29121044000Harbor Gateway,13542609.66,15709.95403
4000,291220,44000,Los Angeles,Harbor Gateway,29122044000Harbor Gateway,8902392.514,12483.50598
4001,291300,44000,Los Angeles,Harbor Gateway,29130044000Harbor Gateway,26184329.62,31671.96349
4002,292001,44000,Los Angeles,Harbor Gateway,29200144000Harbor Gateway,35329272.13,38587.65224
4003,292001,99037,Unincorporated,Harbor Gateway,29200199037Harbor Gateway,2496317.896,9184.73577
4004,292002,44000,Los Angeles,Harbor Gateway,29200244000Harbor Gateway,5118827.043,9312.465127
4005,293203,44000,Los Angeles,Harbor Gateway,29320344000Harbor Gateway,5021320.402,9635.994182
4006,293204,44000,Los Angeles,Harbor Gateway,29320444000Harbor Gateway,6638552.158,13486.55621
4007,293205,44000,Los Angeles,Harbor Gateway,29320544000Harbor Gateway,6832086.359,11429.04731
4008,293206,44000,Los Angeles,Harbor Gateway,29320644000Harbor Gateway,4521141.399,9201.139626
4009,293301,44000,Los Angeles,Harbor City,29330144000Harbor City,9006145.644,14282.94581
4010,293302,44000,Los Angeles,Harbor City,29330244000Harbor City,12080229.12,15398.49908
4011,293304,44000,Los Angeles,Harbor City,29330444000Harbor City,6136820.254,9936.215042
4012,293306,44000,Los Angeles,Harbor Pines,29330644000Harbor Pines,6696167.718,11495.35983
4013,293307,44000,Los Angeles,Harbor City,29330744000Harbor City,3645916.023,9150.22535
4014,294110,44000,Los Angeles,Wilmington,29411044000Wilmington,10550522.51,16664.19861
4015,294120,44000,Los Angeles,Wilmington,29412044000Wilmington,16802512.42,17109.10342
4016,294200,44000,Los Angeles,Wilmington,29420044000Wilmington,10267853.67,12874.60874
4017,294301,44000,Los Angeles,Wilmington,29430144000Wilmington,7629916.809,11632.31916
4018,294302,44000,Los Angeles,Wilmington,29430244000Wilmington,9046586.857,14637.5286
4019,294410,44000,Los Angeles,Harbor City,29441044000Harbor City,8855327.679,12531.49204
4020,294421,44000,Los Angeles,Harbor City,29442144000Harbor City,7215952.367,16406.06649
