City,County,2018,2019,2020,2021,2022,Average
REDDING,SHASTA,345,383,370,376,227,340.2
CERRITOS,"LOS ANGELES",389,372,256,336,343,339.2
"SAN MATEO","SAN MATEO",460,435,297,254,241,337.4
MANTECA,"SAN JOAQUIN",361,365,327,338,293,336.8
PLEASANTON,ALAMEDA,463,361,207,296,337,332.8
"SANTA CLARA","SANTA CLARA",422,384,239,253,346,328.8
MURRIETA,RIVERSIDE,290,365,276,328,381,328.0
LYNWOOD,"LOS ANGELES",336,342,306,320,293,319.4
"MOUNTAIN VIEW","SANTA CLARA",383,385,207,246,375,319.2
"MISSION VIEJO",ORANGE,359,342,245,331,285,312.4
"SAN LEANDRO",ALAMEDA,353,336,278,291,292,310.0
VACAVILLE,SOLANO,325,305,275,292,339,307.2
"LA MESA","SAN DIEGO",313,331,265,319,285,302.6
"REDWOOD CITY","SAN MATEO",345,368,253,247,297,302.0
PERRIS,RIVERSIDE,289,294,294,343,278,299.6
"CITRUS HEIGHTS",SACRAMENTO,332,305,258,280,302,295.4
"WEST SACRAMENTO",YOLO,279,299,271,313,273,287.0
"WALNUT CREEK","CONTRA COSTA",328,347,221,250,286,286.4
VISTA,"SAN DIEGO",266,295,263,300,292,283.2
"PALO ALTO","SANTA CLARA",433,376,192,242,166,281.8
"SAN RAFAEL",MARIN,313,305,228,259,292,279.4
MONTCLAIR,"SAN BERNARDINO",270,293,227,307,279,275.2
MILPITAS,"SANTA CLARA",336,290,196,233,300,271.0
CAMARILLO,VENTURA,326,319,219,227,262,270.6
"PALM SPRINGS",RIVERSIDE,297,285,193,237,325,267.4
"SAN MARCOS","SAN DIEGO",344,299,192,251,249,267.0
CHICO,BUTTE,287,292,203,262,285,265.8
CLOVIS,FRESNO,276,302,211,258,281,265.6
ANTIOCH,"CONTRA COSTA",302,289,240,221,267,263.8
MENIFEE,RIVERSIDE,260,260,227,288,284,263.8
LAKEWOOD,"LOS ANGELES",288,271,208,236,308,262.2
"YUBA CITY",SUTTER,295,293,236,252,222,259.6
"DALY CITY","SAN MATEO",294,287,179,240,294,258.8
"RANCHO CORDOVA",SACRAMENTO,317,263,252,238,221,258.2
PORTERVILLE,TULARE,248,261,220,254,308,258.2
COMMERCE,"LOS ANGELES",272,269,198,259,292,258.0
"MONTEREY PARK","LOS ANGELES",301,294,222,209,264,258.0
NAPA,NAPA,272,304,216,238,258,257.6
TRACY,"SAN JOAQUIN",283,305,244,220,206,251.6
GLENDORA,"LOS ANGELES",301,282,160,236,265,248.8
